,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,11:45:00,EZY56QR,Easyjet,LSGG,A319,OELQE,209,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UZ116 BELU
,13:05:00,TAP948,TAP Air Portugal,LSGG,A320,CSTNW,124,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UZ116 BELU
,14:00:00,SWR2093,Swiss,LSGG,BCS3,HBJCN,125,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UZ116 BELU
,14:10:00,EZS37CV,Easyjet Switzerland,LSGG,A319,HBJYC,205,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UZ116 BELU
,10:35:00,SWR274V,Swiss,LSZH,A320,HBIJP,115,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 OMASI DCT DOPIL
,12:30:00,TAP926G,TAP Air Portugal,LSZH,A321,CSTJH,122,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 OMASI DCT DOPIL
,13:30:00,SWR208N,Swiss,LSZH,A321,HBIOD,116,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 OMASI DCT DOPIL
,13:55:00,EZY72BM,Easyjet,LSZH,A319,GEZAO,203,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 OMASI DCT DOPIL
,10:30:00,THY49C,Turkish Airlines,LTBA,A321,TCJSO,801,GAIOS DCT LASIB UM744 SVL UN747 TOSTO UM445 LASPO UM871 XATOS M871 CAR Q152 CDC L869 LATAN UL869 KRK UM600 TSL UM603 GOLDO UG12 EKI
,14:45:00,THY05KP,Turkish Airlines,LTBA,A321,TCJSI,147,GAIOS DCT LASIB UM744 SVL UN747 TOSTO UM445 LASPO UM871 XATOS M871 CAR Q152 CDC L869 LATAN UL869 KRK UM600 TSL UM603 GOLDO UG12 EKI
,16:40:00,OBS875,Orbest,MUVR,A333,CSTRH,425,BUSEN UZ21 GUNTI DCT 39N020W 39N030W 38N040W 36N050W 33N060W DCT BDA M329 GRATX B646 ZQA R628 TANIA BANAO2
,13:15:00,UAE192,Emirates,OMDB,B77W,A6EPR,146,GAIOS DCT LASIB UM744 SVL UN747 TOSTO UM445 LASPO UM871 XATOS M871 CAR Q152 CDC L869 CRN M601 RUTOM UM601 BALMA UR655 LEBOR R655 KTN A21 TAN G202 PUSTO M203 ILMAP P975 SIDAD R784 IMDAT B416 ORSAR G666 LUDAM M677 ITBUL M322 DATOB
,16:05:00,TAP35,TAP Air Portugal,SBFZ,A332,CSTOH,145,NAKOS DCT BEXAL UN866 KONBA DCT ROSTA UN741 FLZ
,12:05:00,TAP73,TAP Air Portugal,SBGL,A332,CSTOE,412,NAKOS DCT BEXAL DCT SAMAR UN873 CVS UB623 FNR UN857 MOLSU
,10:15:00,TAP89,TAP Air Portugal,SBGR,A343,CSTOD,605,NAKOS DCT BEXAL DCT SAMAR UN873 NTL UZ14 TOMAS UZ21 MOXEP
,10:50:00,AZU8751,Azul,SBKP,A332,PRAIZ,415,NAKOS DCT BEXAL DCT SAMAR UN873 NTL UZ14 AVILA UZ30 ENTIT
,9:55:00,TAP117,TAP Air Portugal,SBPA,A332,CSTOO,503,NAKOS DCT BEXAL DCT SAMAR UN873 NTL UZ14 TOMAS UZ21 ILMUR UZ43 ESNIK UZ13 EKUTI
,16:05:00,TAP11,TAP Air Portugal,SBRF,A332,CSTOI,608,NAKOS DCT BEXAL DCT SAMAR UN873 CVS UB623 ESGUM
,15:45:00,TAP22,TAP Air Portugal,SBSV,A343,CSTOA,143,NAKOS DCT BEXAL DCT SAMAR UN873 NTL UZ10 ZIPAR
